name,breed,gender,age,weight,id,unavailable
America,Shepherd (mix),Female,12 years,46 lbs,7874,False
Artichoke,Husky (mix),Female,2 years,50 lbs,11658,False
Artichoke Pup - Broccoli - Adopted!,Husky - Shepherd (mix),Female,8 weeks,5 lbs,11659,True
Artichoke Pup - Celery - Adopted!,Husky - Shepherd (mix),Male,8 weeks,5 lbs,11660,True
Artichoke Pup - Cucumber - Adopted!,Husky - Shepherd (mix),Male,8 weeks,5 lbs,11661,True
Artichoke Pup - Fennel - Adopted!,Husky - Shepherd (mix),Male,8 weeks,5 lbs,11662,True
Artichoke Pup - Radish- Adopted!,Husky - Shepherd (mix),Female,8 weeks,5 lbs,11663,True
Artichoke Pup - Turnip - Adopted!,Husky - Shepherd (mix),Female,8 weeks,5 lbs,11664,True
Artichoke Pup - Watercress - Adopted!,Husky - Shepherd (mix),Male,8 weeks,5 lbs,11665,True
Belgium - Waiting List Full,Terrier (mix),Female,1 year,22 lbs,11563,True
Belgium Pup - Antwerp - Adopted!,Terrier (mix),Male,11 weeks,5 lbs,11575,True
Blini,Husky - Shepherd (mix),Female,1 year,50 lbs,11562,False
Camembert - Adopted!,Cattle Dog - Terrier (mix),Female,11 weeks,7 lbs,11808,True
Canelo,Labrador Retriever - Husky (mix),Male,1 year,90 lbs,11796,False
Ciao - (Medical),Labrador Retriever - Rhodesian Ridgeback (mix),Male,4 months,17 lbs,11638,False
Coffee Bean,Terrier (mix),Female,2 years,35 lbs,11729,False
Coffee Bean Pup - Arusha,Boxer - Terrier (mix),Male,8 weeks,6 lbs,11730,False
Coffee Bean Pup - Java,Boxer - Terrier (mix),Female,8 weeks,6 lbs,11731,False
Cranberry,Cattle Dog - Terrier (mix),Male,11 weeks,7 lbs,11809,False
Dundee,Shepherd - Husky (mix),Male,8 months,45 lbs,11795,False
Europa - (Medical),Terrier (mix),Female,2 years,23 lbs,11530,False
Europa Pup - Marius - Adopted!,Terrier (mix),Male,3 months,9 lbs,11535,True
Ezra - (Special Needs),Boxer - Dutch Shepherd (mix),Male,3 years,50 lbs,5892,False
Fall Pup - Leaves - Adoption In Process,Shepherd - Pug (mix),Male,3 months,5 lbs,11680,False
Fantasy Pup - Lumeria - Adopted!,Labrador Retriever (mix),Male,6 months,27 lbs,11594,True
Fantasy Pup - Malazan - Waiting List Full,Labrador Retriever (mix),Female,6 months,25 lbs,11595,True
Flax - (Medical),Belgian Shepherd Malinois (mix),Male,5 years,75 lbs,11727,False
Foxie - (Medical),Shepherd (mix),Female,2 years,44 lbs,11566,False
Gable - Adopted!,Labrador Retriever - Terrier (mix),Female,2 years,40 lbs,11545,True
Gable Pup - Dutch - Adopted!,Labrador Retriever - Terrier (mix),Female,10 weeks,10 lbs,11623,True
Gable Pup - Gambrel - Adopted!,Labrador Retriever - Terrier (mix),Male,10 weeks,10 lbs,11624,True
Gable Pup - Hip - Adopted!,Labrador Retriever - Terrier (mix),Female,10 weeks,10 lbs,11625,True
Gable Pup - Pitch,Labrador Retriever - Terrier (mix),Female,10 weeks,10 lbs,11627,False
Gable Pup - Roof - Adopted!,Labrador Retriever - Terrier (mix),Male,10 weeks,10 lbs,11628,True
Harrier,Terrier - Chihuahua (mix),Female,2 years,14 lbs,11234,False
Henley - Adoption In Process,Labrador Retriever (mix),Male,8 months,46 lbs,11810,False
Hydrangea,Pointer (mix),Female,2 years,45 lbs,11265,False
